label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,St_Fo_Ratio
C,2842,1648,131900,1,14,0,1,2,0,0,0.579873329,46.41097818
C,3211,7,79448,0,7,2,1,1,0,1,0.002180006,24.74244784
C,3211,7,79448,0,14,4,1,2,0,1,0.002180006,24.74244784
C,134990,438,31596,0,11,9,1,1,0,1,0.003244685,0.234061782
C,61019,485,299677,0,0,0,1,1,0,1,0.007948344,4.911207984
S,4512,116,56033,0,0,0,1,0,0,1,0.02570922,12.41866135
S,4011899,469,173277,0,9,7,1,0,1,1,0.000116902,0.043190768
S,2078146,100,76735,0,11,10,1,0,1,1,4.81E-05,0.03692474
S,61019,485,299677,0,1,0,2,0,0,1,0.007948344,4.911207984
S,8751,2352,164226,1,1,0,3,0,0,1,0.268769284,18.76654097
S,516370,16,66216,0,3,1,2,0,1,1,3.10E-05,0.128233631
C,115854,329,78081,0,1,0,1,1,0,1,0.002839781,0.673960329
S,3537,60,1744,0,1,0,1,0,0,0,0.016963528,0.493073226
S,3537,60,1744,1,1,0,1,0,0,0,0.016963528,0.493073226
C,14760,475,26996,1,7,0,1,1,0,1,0.032181572,1.82899729
S,20790,801,17274,0,9,3,1,0,0,1,0.038528139,0.830880231
S,2979,676,245380,1,3,0,1,0,0,0,0.226921786,82.36992279
S,227952,31,75397,0,3,1,1,0,0,0,0.000135994,0.33075823
S,1371986,151,101883,0,3,5,1,0,0,1,0.000110059,0.074259504
S,2626,379,48663,1,21,0,1,0,0,1,0.144325971,18.5312262
S,2078146,100,76735,0,21,11,1,0,1,1,4.81E-05,0.03692474
C,21841,701,121590,0,2,0,1,1,0,1,0.0320956,5.567052791
S,616696,9,60943,0,2,5,1,1,1,1,1.46E-05,0.098821786
C,1497295,68,91009,0,3,6,1,1,1,1,4.54E-05,0.060782277
N,134145,302,6175,2,9,0,1,1,1,1,0.002251295,0.046032279
N,12911,2073,31830,0,10,3,1,0,0,1,0.160560762,2.465339633
N,6282,2365,36498,0,22,3,1,0,0,1,0.376472461,5.809933142
S,3211,7,79448,0,7,2,1,1,0,1,0.002180006,24.74244784
C,3537,60,1744,0,0,0,1,1,0,0,0.016963528,0.493073226
C,134990,438,31596,0,11,9,1,1,0,1,0.003244685,0.234061782
C,61019,485,299677,0,0,0,1,1,0,1,0.007948344,4.911207984
S,4512,116,56033,0,0,0,1,0,0,1,0.02570922,12.41866135
S,4011899,469,173277,0,9,7,1,0,1,1,0.000116902,0.043190768
S,8751,2352,164226,1,1,0,3,0,0,1,0.268769284,18.76654097
C,115854,329,78081,0,1,0,1,1,0,1,0.002839781,0.673960329
S,3537,60,1744,0,1,0,1,0,0,0,0.016963528,0.493073226
S,3537,60,1744,1,1,0,1,0,0,0,0.016963528,0.493073226
C,21841,701,121590,0,1,0,1,1,0,1,0.0320956,5.567052791
S,2979,676,245380,1,3,0,1,0,0,0,0.226921786,82.36992279
S,227952,31,75397,0,3,1,1,0,0,0,0.000135994,0.33075823
S,3110,141,3778,1,0,0,1,0,0,1,0.045337621,1.214790997
S,2078146,100,76735,0,21,11,1,0,1,1,4.81E-05,0.03692474
S,8751,2352,164226,1,45,0,1,0,0,1,0.268769284,18.76654097
C,21841,701,121590,0,2,0,1,1,0,1,0.0320956,5.567052791
S,14984,294,25374,1,338,0,1,0,0,1,0.019620929,1.6934063
C,16670,233,18240,1,168,0,1,1,0,1,0.013977205,1.094181164
S,4916,851,45886,1,146,0,2,0,0,1,0.173108218,9.334011391
C,5814,950,111236,1,46,0,1,0,0,0,0.163398693,19.13243894
C,9515,9290,104011,1,124,0,1,1,0,1,0.976353127,10.93126642
C,8706,804,30321,1,124,0,1,1,0,1,0.092350103,3.482770503
C,2864,1668,12834,1,124,0,1,1,0,1,0.582402235,4.481145251
S,9910,3419,136410,1,142,0,1,0,0,0,0.345005045,13.76488396
S,6769,929,259837,2,5,0,1,0,0,1,0.137243315,38.38631999
C,5630,3808,10179,1,6,0,1,0,0,1,0.676376554,1.807992895
C,2907,960,52970,1,6,0,1,0,0,0,0.330237358,18.22153423
C,23327,437,11429,0,34,12,1,0,0,1,0.018733656,0.489947271
C,12100,273,6285,1,338,0,1,0,0,1,0.022561983,0.519421488
C,115854,329,78081,0,0,1,1,1,0,1,0.002839781,0.673960329
C,2758,1989,49776,2,1,0,1,1,0,1,0.721174764,18.04786077
C,8286,508,19009,1,1,1,1,1,0,1,0.061308231,2.294110548
C,4498,699,34073,1,8,0,1,1,0,1,0.155402401,7.575144509
S,11240,1226,61035,1,25,0,1,1,0,1,0.109074733,5.430160142
S,77902,406,181761,1,8,0,1,0,0,1,0.005211676,2.333200688
S,77902,406,181761,1,8,0,1,0,0,1,0.005211676,2.333200688
N,119595,337,42121,0,80,43,1,0,0,1,0.002817844,0.352196998
S,7396,1195,6283,1,19,0,2,0,0,1,0.161573824,0.84951325
C,21841,701,121590,0,0,0,1,1,0,1,0.0320956,5.567052791
S,21841,701,121590,0,1,0,1,1,0,1,0.0320956,5.567052791
S,8751,2352,164226,1,45,0,1,0,0,1,0.268769284,18.76654097
S,8751,2352,164226,1,2,0,1,1,0,1,0.268769284,18.76654097
C,1711,1573,6269,1,2,0,1,1,0,1,0.919345412,3.663939217
C,21841,701,121590,0,2,0,1,1,0,1,0.0320956,5.567052791
C,9015,45,14959,0,1,0,2,1,0,1,0.004991681,1.659345535
C,1371,905,58302,3,21,0,2,1,0,1,0.660102115,42.52516411
S,1721,779,15855,1,24,0,1,1,0,1,0.452643812,9.212667054
C,5814,950,111236,1,14,0,1,1,0,0,0.163398693,19.13243894
S,2231,1897,15156,0,0,0,2,1,0,1,0.850291349,6.793366203
S,2209,1513,94323,0,1,0,2,1,0,1,0.684925306,42.6994115
S,616697,9,60943,0,2,5,1,1,1,1,1.46E-05,0.098821626
C,1497297,68,91009,0,3,6,1,1,1,1,4.54E-05,0.060782196
C,9110,566,40874,2,7,0,1,1,0,0,0.062129528,4.486717892
S,2785,2709,144021,1,25,0,1,1,0,1,0.972710952,51.71310592
C,14760,475,26996,1,7,1,1,1,0,1,0.032181572,1.82899729
C,21841,701,121590,0,1,1,1,1,0,1,0.0320956,5.567052791
S,1338924,209,206935,2,2,0,2,1,1,1,0.000156095,0.154553208
C,1592,1266,89999,1,0,0,1,1,0,0,0.795226131,56.53203518
C,1197,180,28745,1,1,0,1,1,0,1,0.15037594,24.01420217
C,1589,662,6527,1,7,0,1,1,0,1,0.416614223,4.107614852
C,611922,30,139965,0,7,2,1,1,1,0,4.90E-05,0.228730132
C,4786,100,4049,0,0,0,2,1,0,1,0.020894275,0.846009193
C,4786,100,4049,0,2,0,2,1,0,1,0.020894275,0.846009193
C,4786,100,4049,0,1,0,2,1,0,1,0.020894275,0.846009193
S,4786,100,4049,0,0,1,3,1,0,1,0.020894275,0.846009193
C,1306,379,6575,0,0,1,1,0,0,1,0.290199081,5.034456355
C,8201,260,101565,2,6,0,1,1,0,1,0.031703451,12.38446531
C,4012,2166,23381,1,6,3,1,1,0,1,0.539880359,5.8277667
C,24239,294,10883,1,10,0,1,1,0,0,0.012129213,0.448987169
C,1189,1063,32042,1,9,0,1,0,0,1,0.894028595,26.94869638
C,4397,618,127303,1,5,0,2,0,0,0,0.140550375,28.95224016
C,6524,89,49723,1,0,1,1,1,1,1,0.013641937,7.621551196
S,8286,508,19009,1,0,0,1,0,0,1,0.061308231,2.294110548
S,2082,499,63955,0,0,0,1,0,0,1,0.239673391,30.71805956
S,11026,15,25483,0,0,0,1,0,0,1,0.001360421,2.31117359
S,61019,485,299678,0,2,0,1,0,0,1,0.007948344,4.911224373
S,278728,327,65003,1,9,0,1,0,1,1,0.001173187,0.233213025
S,6079,2054,211802,1,9,0,1,0,0,1,0.33788452,34.84158579
S,4011903,469,173277,0,9,9,1,0,1,1,0.000116902,0.043190725
C,1631,294,74332,3,21,0,2,1,0,0,0.180257511,45.57449418
C,22129,831,109631,0,1,0,1,1,1,1,0.037552533,4.954177776
S,108906,762,19631,0,28,14,1,0,1,1,0.00699686,0.180256368
C,5309,5021,280,2,2,0,2,1,0,0,0.945752496,0.052740629
C,3211,7,79448,0,0,0,1,1,0,1,0.002180006,24.74244784
S,10149,247,76633,0,3,0,1,0,0,1,0.024337373,7.550793182
S,1354940,563,298773,0,5,3,1,1,1,1,0.000415517,0.220506443
S,1532,2000,23628,1,2,0,1,0,0,1,1.305483029,15.4229765
S,3186,4056,26312,1,3,0,1,0,0,1,1.27306968,8.258631513
S,3186,4056,26312,1,6,0,1,0,0,1,1.27306968,8.258631513
S,1338,804,74093,2,5,0,1,1,0,1,0.600896861,55.37593423
C,2508,589,100609,0,2,2,1,0,0,1,0.234848485,40.11523126
S,4874,511,10553,2,5,0,1,1,0,1,0.104842019,2.165162085
S,1110,460,7109,1,5,2,1,1,0,1,0.414414414,6.404504505
C,1255,903,57250,1,1,0,2,1,0,0,0.719521912,45.61752988
C,21841,701,121590,0,0,0,1,1,0,1,0.0320956,5.567052791
C,20771,2290,206127,3,21,0,2,1,0,1,0.110249868,9.923787974
C,1234,472,73322,3,21,0,2,1,0,1,0.382495948,59.41815235
C,2968,563,49712,3,21,0,2,1,0,0,0.189690027,16.74932615
C,18308,243,149490,2,21,2,2,1,0,0,0.013272886,8.165282936
C,115854,329,78081,0,1,1,1,1,0,1,0.002839781,0.673960329
C,2979,676,245381,1,1,0,1,1,0,0,0.226921786,82.37025848
C,4512,116,56032,0,1,0,1,1,0,1,0.02570922,12.41843972
S,17323,17,80369,0,8,4,1,0,0,1,0.000981354,4.639438896
S,2157,1176,235184,1,5,0,1,0,0,1,0.545201669,109.0329161
C,5862,1995,62485,1,2,2,2,1,0,0,0.340327533,10.65933129
C,2510,589,100611,1,0,0,1,1,0,1,0.234661355,40.08406375
S,10930,465,780,1,42,0,1,1,0,1,0.042543458,0.07136322
S,5227,1016,49627,1,23,0,1,0,0,1,0.194375359,9.494356227
S,2978,676,245401,1,23,0,1,0,0,0,0.226997985,82.40463398
S,1793,1717,75324,1,23,0,1,0,0,1,0.957612939,42.01003904
S,1791,1,4722,1,23,0,1,0,0,1,0.000558347,2.636515913
C,20751,484,48351,0,6,4,1,1,0,0,0.023324177,2.330056383
S,2078324,100,76742,0,23,14,1,0,1,1,4.81E-05,0.036924945
S,33099,115,50662,0,1,1,1,0,0,1,0.003474425,1.53062026
S,1591,1266,90000,1,2,0,1,0,0,0,0.795725959,56.5681961
S,1548,1713,67588,1,1,0,1,0,0,1,1.106589147,43.66149871
S,10149,247,76633,0,2,1,1,0,0,1,0.024337373,7.550793182
S,3112,141,3778,1,0,0,1,0,0,1,0.045308483,1.214010283
S,22129,831,109642,0,0,0,1,0,1,1,0.037552533,4.954674861
S,8002,219,27676,0,0,0,1,0,0,1,0.027368158,3.458635341
S,1372091,151,101888,0,8,7,1,0,0,1,0.000110051,0.074257465
S,227969,31,75402,0,3,1,1,0,0,0,0.000135983,0.330755497
S,3112,141,3778,0,0,0,1,0,0,1,0.045308483,1.214010283
S,10149,247,76633,1,0,0,1,0,0,1,0.024337373,7.550793182
S,6084,2054,211829,2,27,0,1,0,0,1,0.337606838,34.81738988
S,11071,5442,103355,2,27,0,1,0,0,1,0.491554512,9.335651703
S,2105,37,26750,1,3,0,1,0,0,0,0.017577197,12.70783848
S,8002,219,27676,0,1,0,1,0,0,1,0.027368158,3.458635341
S,22129,831,109642,0,1,0,1,0,1,1,0.037552533,4.954674861
S,1620,905,28599,2,27,0,1,0,0,0,0.558641975,17.6537037
S,4012193,469,173286,2,27,0,1,0,1,1,0.000116894,0.043189847
S,1355015,563,298794,0,5,1,1,0,1,1,0.000415494,0.220509736
S,1772,1200,30273,1,6,0,1,0,0,1,0.677200903,17.08408578
S,1076,197,34234,1,6,0,1,0,0,0,0.183085502,31.81598513
S,1355015,563,298794,0,4,3,1,0,1,1,0.000415494,0.220509736
S,5899,596,23415,1,3,2,1,1,0,1,0.101034074,3.969316833
C,1546,1983,74649,1,14,0,1,1,0,1,1.282664942,48.28525226
C,5218,1687,48217,1,14,0,1,1,0,1,0.323303948,9.240513607
C,9319,5067,133435,1,14,0,1,1,0,1,0.543727868,14.31859642
C,11598,11651,26220,1,14,0,1,1,0,1,1.004569753,2.260734609
